"","from","to","value"
"804",2910,3036,1
"805",2807,3038,1
"806",2824,3038,1
"807",2852,3038,1
"808",2865,3038,1
"809",2950,3038,1
"810",2854,3039,1
"811",2855,3039,1
"812",3073,3039,1
"813",2995,3042,1
"814",3049,3042,1
"815",2761,3049,1
"816",2810,3049,1
"817",2858,3049,1
"818",2879,3049,1
"819",2995,3049,1
"820",3014,3049,1
"821",3026,3049,1
"822",3042,3049,1
"823",3101,3049,1
"824",2696,3050,1
"825",2879,3050,1
"826",2968,3050,1
"827",2977,3050,1
"828",2995,3050,1
"829",3008,3050,1
"830",3015,3050,1
"831",3051,3050,1
"832",3115,3050,1
"833",3133,3050,1
"834",2876,3051,1
"835",2888,3051,1
"836",2995,3051,1
"837",3049,3051,1
"838",3091,3051,1
"839",3115,3051,1
"840",3133,3051,1
"841",2922,3053,1
"842",3037,3053,1
"843",2789,3055,1
"844",2815,3055,1
"845",2978,3055,1
"846",2744,3056,1
"847",2908,3056,1
"848",2995,3056,1
"849",2723,3057,1
"850",2879,3057,1
"851",2888,3057,1
"852",2889,3057,1
"853",2910,3057,1
"854",2995,3057,1
"855",3032,3057,1
"856",2922,3058,1
"857",3019,3058,1
"858",2761,3060,1
"859",2820,3060,1
"860",2970,3060,1
"861",2995,3060,1
"862",2910,3061,1
"863",2950,3061,1
"864",3022,3061,1
"865",3104,3061,1
"866",3114,3061,1
"867",2795,3062,1
"868",2859,3062,1
"869",2910,3062,1
"870",2749,3066,1
"871",2828,3066,1
"872",2882,3066,1
"873",2946,3066,1
"874",2972,3066,1
"875",3070,3066,1
"876",3082,3066,1
"877",2761,3067,1
"878",2774,3067,1
"879",2889,3067,1
"880",2910,3067,1
"881",2995,3067,1
"882",3010,3067,1
"883",3056,3067,1
"884",2839,3068,1
"885",2883,3068,1
"886",2910,3068,1
"887",2920,3068,1
"888",2800,3071,1
"889",2889,3071,1
"890",2910,3071,1
"891",2919,3071,1
"892",2938,3071,1
"893",2995,3071,1
"894",2996,3071,1
"895",3014,3071,1
"896",3067,3071,1
"897",3021,3072,1
"898",2978,3073,1
"899",2761,3080,1
"900",2774,3080,1
"901",2971,3080,1
"902",2995,3080,1
"903",3053,3080,1
"904",2684,3081,1
"905",2879,3081,1
"906",2749,3082,1
"907",2828,3082,1
"908",2859,3082,1
"909",2944,3082,1
"910",2948,3082,1
"911",2972,3082,1
"912",3070,3082,1
"913",3083,3082,1
"914",2749,3083,1
"915",2761,3083,1
"916",2793,3083,1
"917",2972,3083,1
"918",3070,3083,1
"919",3082,3083,1
"920",2685,3088,1
"921",2813,3088,1
"922",2815,3088,1
"923",2995,3088,1
"924",3115,3088,1
"925",2686,3092,1
"926",2859,3092,1
"927",2871,3092,1
"928",2882,3092,1
"929",3021,3092,1
"930",3072,3092,1
"931",2995,3093,1
"932",3021,3093,1
"933",2761,3094,1
"934",2917,3094,1
"935",3021,3094,1
"936",3070,3094,1
"937",2684,3095,1
"938",2833,3095,1
"939",2847,3095,1
"940",2686,3101,1
"941",2749,3101,1
"942",2761,3101,1
"943",2795,3101,1
"944",2919,3101,1
"945",2959,3101,1
"946",3049,3101,1
"947",3070,3101,1
"948",2800,3102,1
"949",2889,3102,1
"950",2910,3102,1
"951",2963,3102,1
"952",3006,3102,1
"953",2910,3103,1
"954",2995,3103,1
"955",3009,3103,1
"956",3067,3103,1
"957",2744,3104,1
"958",2765,3104,1
"959",2798,3104,1
"960",3014,3104,1
"961",2696,3108,1
"962",2711,3108,1
"963",2879,3108,1
"964",2888,3108,1
"965",2977,3108,1
"966",2995,3108,1
"967",3015,3108,1
"968",3104,3108,1
"969",2733,3110,1
"970",2798,3110,1
"971",2829,3110,1
"972",2988,3110,1
"973",3016,3110,1
"974",3133,3110,1
"975",2678,3113,1
"976",2798,3113,1
"977",2820,3113,1
"978",2975,3113,1
"979",2987,3113,1
"980",3028,3113,1
"981",3033,3113,1
"982",3143,3113,1
"983",3149,3113,1
"984",2910,3114,1
"985",2685,3115,1
"986",2690,3115,1
"987",2789,3115,1
"988",2868,3115,1
"989",2919,3115,1
"990",2978,3116,1
"991",3019,3117,1
"992",3053,3117,1
"993",3080,3117,1
"994",3147,3117,1
"995",2880,3130,1
