"","From","To","relation","value"
"575",60,211,"Required",1
"576",60,211,"Advice",1
"577",60,211,"Feeling",5
"578",60,211,"Conflict",1
"579",60,302,"Required",1
"580",60,302,"Feeling",5
"581",60,302,"Conflict",1
"582",70,245,"Required",1
"583",70,245,"Advice",1
"584",70,245,"Feeling",5
"585",70,245,"Conflict",1
"586",70,197,"Required",1
"587",70,197,"Advice",1
"588",70,197,"Feeling",5
"589",70,197,"Conflict",1
"590",70,216,"Required",1
"591",70,216,"Feeling",2
"592",70,216,"Conflict",4
"593",70,229,"Advice",1
"594",70,229,"Feeling",3
"595",70,229,"Conflict",2
"596",70,169,"Feeling",1
"597",70,169,"Conflict",2
"598",70,71,"Required",1
"599",70,71,"Feeling",3
"600",70,71,"Conflict",4
"601",75,306,"Required",1
"602",75,306,"Feeling",5
"603",75,306,"Conflict",1
"604",75,37,"Required",1
"605",75,37,"Feeling",5
"606",75,37,"Conflict",1
"607",75,267,"Required",1
"608",75,267,"Advice",1
"609",75,267,"Feeling",5
"610",75,267,"Conflict",2
"611",75,20,"Required",1
"612",75,20,"Advice",1
"613",75,20,"Feeling",5
"614",75,20,"Conflict",4
"615",75,16,"Required",1
"616",75,16,"Advice",1
"617",75,16,"Feeling",5
"618",75,16,"Conflict",2
"619",75,344,"Required",1
"620",75,344,"Advice",1
"621",75,344,"Feeling",5
"622",75,344,"Conflict",2
"623",75,59,"Required",1
"624",75,59,"Advice",1
"625",75,59,"Feeling",5
"626",75,59,"Conflict",2
"627",75,80,"Required",1
"628",75,80,"Advice",1
"629",75,80,"Feeling",5
"630",75,80,"Conflict",2
"631",75,148,"Required",1
"632",75,148,"Advice",1
"633",75,148,"Feeling",5
"634",75,148,"Conflict",1
"635",75,33,"Required",1
"636",75,33,"Advice",1
"637",75,33,"Feeling",2
"638",75,33,"Conflict",2
"639",75,169,"Required",1
"640",75,169,"Advice",1
"641",75,169,"Feeling",2
"642",75,169,"Conflict",2
"643",75,148,"Required",1
"644",75,148,"Feeling",4
"645",75,148,"Conflict",1
"646",77,90,"Required",1
"647",77,90,"Advice",1
"648",77,90,"Feeling",5
"649",77,90,"Conflict",1
"650",77,300,"Required",1
"651",77,300,"Advice",1
"652",77,300,"Feeling",5
"653",77,300,"Conflict",1
"654",77,293,"Required",1
"655",77,293,"Advice",1
"656",77,293,"Feeling",5
"657",77,293,"Conflict",1
"658",77,206,"Required",1
"659",77,206,"Advice",1
"660",77,206,"Feeling",3
"661",77,206,"Conflict",1
"662",77,238,"Required",1
"663",77,238,"Advice",1
"664",77,238,"Feeling",5
"665",77,238,"Conflict",1
"666",77,312,"Required",1
"667",77,312,"Advice",1
"668",77,312,"Feeling",5
"669",77,312,"Conflict",1
"670",77,341,"Required",1
"671",77,341,"Advice",1
"672",77,341,"Feeling",5
"673",77,341,"Conflict",1
"674",77,267,"Feeling",5
"675",77,267,"Conflict",1
"676",78,173,"Advice",1
"677",78,173,"Feeling",5
"678",78,173,"Conflict",1
"679",78,276,"Advice",1
"680",78,276,"Feeling",4
"681",78,276,"Conflict",1
"682",78,41,"Advice",1
"683",78,41,"Feeling",5
"684",78,41,"Conflict",1
"685",78,116,"Required",1
"686",78,116,"Advice",1
"687",78,116,"Feeling",3
"688",78,116,"Conflict",1
"689",78,182,"Advice",1
"690",78,182,"Feeling",4
"691",78,182,"Conflict",1
"692",78,109,"Advice",1
"693",78,109,"Feeling",5
"694",78,109,"Conflict",1
"695",78,339,"Advice",1
"696",78,339,"Feeling",4
"697",78,339,"Conflict",1
"698",78,194,"Feeling",2
"699",78,194,"Conflict",1
"700",78,341,"Feeling",4
"701",78,341,"Conflict",1
"702",78,136,"Advice",1
"703",78,136,"Feeling",5
"704",78,136,"Conflict",1
"705",78,192,"Advice",1
"706",78,192,"Feeling",5
"707",78,192,"Conflict",1
"708",78,40,"Feeling",2
"709",78,40,"Conflict",1
"710",80,83,"Required",1
"711",80,83,"Feeling",3
"712",80,83,"Conflict",2
"713",80,148,"Required",1
"714",80,148,"Feeling",4
"715",80,148,"Conflict",2
"716",80,246,"Required",1
"717",80,246,"Feeling",4
"718",80,246,"Conflict",2
"719",80,33,"Required",1
"720",80,33,"Feeling",4
"721",80,33,"Conflict",2
"722",82,246,"Required",1
"723",82,246,"Advice",1
"724",82,246,"Feeling",5
"725",82,246,"Conflict",1
"726",82,149,"Required",1
"727",82,149,"Advice",1
"728",82,149,"Feeling",3
"729",82,149,"Conflict",4
"730",82,319,"Required",1
"731",82,319,"Feeling",2
"732",82,319,"Conflict",2
"733",82,109,"Required",1
"734",82,109,"Advice",1
"735",82,109,"Feeling",5
"736",82,109,"Conflict",1
"737",82,267,"Required",1
"738",82,267,"Advice",1
"739",82,267,"Feeling",3
"740",82,267,"Conflict",4
"741",82,349,"Required",1
"742",82,349,"Advice",1
"743",82,349,"Feeling",5
"744",82,349,"Conflict",1
"745",82,40,"Required",1
"746",82,40,"Advice",1
"747",82,40,"Feeling",3
"748",82,40,"Conflict",1
"749",82,129,"Required",1
"750",82,129,"Advice",1
"751",82,129,"Feeling",5
"752",82,129,"Conflict",1
"753",82,178,"Required",1
"754",82,178,"Advice",1
"755",82,178,"Feeling",5
"756",82,178,"Conflict",1
"757",82,220,"Required",1
"758",82,220,"Advice",1
"759",82,220,"Feeling",5
"760",82,220,"Conflict",1
"761",82,171,"Required",1
"762",82,171,"Advice",1
"763",82,171,"Feeling",5
"764",82,171,"Conflict",1
"765",82,56,"Required",1
"766",82,56,"Advice",1
"767",82,56,"Feeling",5
"768",82,56,"Conflict",1
"769",82,145,"Required",1
"770",82,145,"Advice",1
"771",82,145,"Feeling",5
"772",82,145,"Conflict",1
"773",82,217,"Required",1
"774",82,217,"Feeling",1
"775",82,217,"Conflict",2
"776",82,298,"Required",1
"777",82,298,"Advice",1
"778",82,298,"Feeling",5
"779",82,298,"Conflict",1
"780",83,149,"Advice",1
"781",83,149,"Feeling",2
"782",83,149,"Conflict",1
"783",83,90,"Advice",1
"784",83,90,"Feeling",3
"785",83,90,"Conflict",1
"786",83,238,"Advice",1
"787",83,238,"Feeling",3
"788",83,238,"Conflict",1
"789",83,312,"Required",1
"790",83,312,"Advice",1
"791",83,312,"Feeling",5
"792",83,312,"Conflict",1
"793",83,20,"Required",1
"794",83,20,"Advice",1
"795",83,20,"Feeling",4
"796",83,20,"Conflict",1
"797",83,147,"Required",1
"798",83,147,"Advice",1
"799",83,147,"Feeling",4
"800",83,147,"Conflict",1
"801",83,267,"Required",1
"802",83,267,"Advice",1
"803",83,267,"Feeling",2
"804",83,267,"Conflict",1
"805",83,217,"Required",1
"806",83,217,"Advice",1
"807",83,217,"Feeling",5
"808",83,217,"Conflict",1
"809",83,200,"Required",1
"810",83,200,"Advice",1
"811",83,200,"Feeling",5
"812",83,200,"Conflict",1
"813",83,75,"Advice",1
"814",83,75,"Feeling",3
"815",83,75,"Conflict",1
"816",83,318,"Required",1
"817",83,318,"Feeling",2
"818",83,318,"Conflict",1
"819",83,148,"Required",1
"820",83,148,"Advice",1
"821",83,148,"Feeling",4
"822",83,148,"Conflict",1
"823",83,80,"Required",1
"824",83,80,"Advice",1
"825",83,80,"Feeling",4
"826",83,80,"Conflict",1
"827",83,168,"Advice",1
"828",83,168,"Feeling",3
"829",83,168,"Conflict",1
"830",83,156,"Required",1
"831",83,156,"Advice",1
"832",83,156,"Feeling",2
"833",83,156,"Conflict",1
"834",84,40,"Required",1
"835",84,40,"Advice",1
"836",84,40,"Feeling",5
"837",84,40,"Conflict",2
"838",84,220,"Required",1
"839",84,220,"Advice",1
"840",84,220,"Feeling",4
"841",84,220,"Conflict",2
"842",84,21,"Required",1
"843",84,21,"Advice",1
"844",84,21,"Feeling",3
"845",84,21,"Conflict",2
"846",84,43,"Required",1
"847",84,43,"Advice",1
"848",84,43,"Feeling",3
"849",84,43,"Conflict",2
"850",84,63,"Required",1
"851",84,63,"Feeling",4
"852",84,63,"Conflict",2
"853",84,302,"Required",1
"854",84,302,"Advice",1
"855",84,302,"Feeling",5
"856",84,302,"Conflict",2
"857",84,23,"Required",1
"858",84,23,"Feeling",5
"859",84,23,"Conflict",2
"860",84,256,"Required",1
"861",84,256,"Feeling",3
"862",84,256,"Conflict",2
"863",84,257,"Advice",1
"864",84,257,"Feeling",5
"865",84,257,"Conflict",1
"866",84,87,"Advice",1
"867",84,87,"Feeling",4
"868",84,87,"Conflict",2
"869",84,171,"Required",1
"870",84,171,"Advice",1
"871",84,171,"Feeling",4
"872",84,171,"Conflict",2
"873",84,273,"Required",1
"874",84,273,"Feeling",4
"875",84,273,"Conflict",2
"876",84,298,"Feeling",3
"877",84,298,"Conflict",2
"878",84,184,"Required",1
"879",84,184,"Feeling",5
"880",84,184,"Conflict",1
"881",84,267,"Feeling",3
"882",84,267,"Conflict",2
"883",87,84,"Required",1
"884",87,84,"Advice",1
"885",87,84,"Feeling",5
"886",87,84,"Conflict",2
"887",87,298,"Required",1
"888",87,298,"Advice",1
"889",87,298,"Feeling",4
"890",87,298,"Conflict",1
"891",87,21,"Advice",1
"892",87,21,"Feeling",5
"893",87,21,"Conflict",1
"894",87,56,"Advice",1
"895",87,56,"Feeling",4
"896",87,56,"Conflict",1
"897",87,43,"Required",1
"898",87,43,"Advice",1
"899",87,43,"Feeling",4
"900",87,43,"Conflict",1
"901",90,163,"Required",1
"902",90,163,"Advice",1
"903",90,163,"Feeling",4
"904",90,77,"Required",1
"905",90,77,"Advice",1
"906",90,77,"Feeling",5
"907",90,275,"Required",1
"908",90,275,"Advice",1
"909",90,275,"Feeling",2
"910",90,300,"Required",1
"911",90,300,"Advice",1
"912",90,300,"Feeling",4
"913",90,30,"Required",1
"914",90,30,"Advice",1
"915",90,30,"Feeling",5
"916",90,238,"Required",1
"917",90,238,"Advice",1
"918",90,238,"Feeling",5
"919",90,206,"Required",1
"920",90,206,"Advice",1
"921",90,206,"Feeling",4
"922",90,293,"Required",1
"923",90,293,"Advice",1
"924",90,293,"Feeling",5
"925",90,37,"Required",1
"926",90,37,"Advice",1
