"","from","to","value"
"817",3104,2996,1
"818",3114,2996,1
"819",2703,2999,1
"820",2774,2999,1
"821",2795,2999,1
"822",2865,2999,1
"823",2946,2999,1
"824",3028,2999,1
"825",3056,2999,1
"826",3070,2999,1
"827",3104,2999,1
"828",3016,3000,1
"829",3133,3000,1
"830",2953,3004,1
"831",2986,3006,1
"832",3102,3006,1
"833",2845,3008,1
"834",2968,3008,1
"835",2752,3009,1
"836",2761,3009,1
"837",3103,3009,1
"838",3149,3009,1
"839",2739,3010,1
"840",2910,3010,1
"841",2947,3010,1
"842",3056,3010,1
"843",3144,3010,1
"844",2845,3011,1
"845",3113,3011,1
"846",2845,3014,1
"847",2879,3014,1
"848",2910,3014,1
"849",2711,3015,1
"850",2968,3015,1
"851",3108,3015,1
"852",2913,3016,1
"853",3110,3016,1
"854",2995,3019,1
"855",3058,3019,1
"856",2919,3020,1
"857",3115,3020,1
"858",3034,3021,1
"859",3072,3021,1
"860",2782,3022,1
"861",2678,3028,1
"862",2684,3028,1
"863",2710,3028,1
"864",2731,3028,1
"865",2768,3028,1
"866",2774,3028,1
"867",2872,3028,1
"868",2987,3028,1
"869",3033,3028,1
"870",3070,3028,1
"871",3143,3028,1
"872",2741,3032,1
"873",2814,3032,1
"874",2862,3032,1
"875",2909,3032,1
"876",3033,3032,1
"877",3115,3032,1
"878",3131,3032,1
"879",2949,3033,1
"880",2987,3033,1
"881",2910,3036,1
"882",2720,3037,1
"883",2847,3037,1
"884",2855,3039,1
"885",2897,3039,1
"886",3009,3042,1
"887",2705,3049,1
"888",2761,3049,1
"889",2774,3049,1
"890",2782,3049,1
"891",2793,3049,1
"892",2919,3049,1
"893",2938,3049,1
"894",2973,3049,1
"895",2995,3049,1
"896",3009,3049,1
"897",3067,3049,1
"898",3147,3049,1
"899",2878,3050,1
"900",2968,3050,1
"901",2922,3053,1
"902",3019,3053,1
"903",3058,3053,1
"904",2790,3055,1
"905",2915,3055,1
"906",3151,3055,1
"907",2710,3056,1
"908",2720,3056,1
"909",2744,3056,1
"910",2772,3056,1
"911",2774,3056,1
"912",2908,3056,1
"913",2970,3056,1
"914",2995,3056,1
"915",3010,3056,1
"916",3067,3056,1
"917",3070,3056,1
"918",3103,3056,1
"919",3104,3056,1
"920",2774,3057,1
"921",2910,3057,1
"922",2947,3057,1
"923",3102,3057,1
"924",3013,3060,1
"925",2716,3061,1
"926",2807,3061,1
"927",2820,3061,1
"928",2842,3061,1
"929",2853,3061,1
"930",2865,3061,1
"931",2898,3061,1
"932",2910,3061,1
"933",2950,3061,1
"934",2995,3061,1
"935",3022,3061,1
"936",3042,3061,1
"937",3140,3061,1
"938",2910,3062,1
"939",2917,3062,1
"940",3092,3062,1
"941",2965,3063,1
"942",2917,3066,1
"943",3013,3066,1
"944",2910,3067,1
"945",3071,3067,1
"946",3103,3067,1
"947",2744,3068,1
"948",2839,3068,1
"949",2883,3068,1
"950",2904,3068,1
"951",2910,3068,1
"952",2920,3068,1
"953",3140,3068,1
"954",2793,3070,1
"955",2948,3070,1
"956",2987,3070,1
"957",2910,3071,1
"958",2984,3071,1
"959",3091,3071,1
"960",3103,3071,1
"961",2720,3073,1
"962",2855,3073,1
"963",2868,3073,1
"964",2880,3073,1
"965",2978,3073,1
"966",3039,3073,1
"967",3117,3080,1
"968",2683,3081,1
"969",2802,3081,1
"970",2901,3081,1
"971",2911,3081,1
"972",3070,3081,1
"973",2749,3082,1
"974",2859,3082,1
"975",2882,3082,1
"976",2917,3082,1
"977",3013,3082,1
"978",2749,3083,1
"979",2793,3083,1
"980",3013,3083,1
"981",3066,3083,1
"982",3082,3083,1
"983",2701,3088,1
"984",2813,3088,1
"985",3091,3088,1
"986",3115,3088,1
"987",3133,3088,1
"988",2752,3091,1
"989",2984,3091,1
"990",3051,3091,1
"991",3013,3092,1
"992",3072,3093,1
"993",2766,3094,1
"994",2793,3094,1
"995",3013,3094,1
"996",2833,3095,1
"997",2685,3101,1
"998",2749,3101,1
"999",2830,3101,1
"1000",2919,3101,1
"1001",2944,3101,1
"1002",3013,3101,1
"1003",3070,3101,1
"1004",3151,3101,1
"1005",2910,3102,1
"1006",2910,3103,1
"1007",2685,3104,1
"1008",2690,3104,1
"1009",2691,3104,1
"1010",2704,3104,1
"1011",2733,3104,1
"1012",2744,3104,1
"1013",2765,3104,1
"1014",2768,3104,1
"1015",2789,3104,1
"1016",2798,3104,1
"1017",2816,3104,1
"1018",2858,3104,1
"1019",2879,3104,1
"1020",2911,3104,1
"1021",2946,3104,1
"1022",2988,3104,1
"1023",2995,3104,1
"1024",3026,3104,1
"1025",3103,3104,1
"1026",3115,3104,1
"1027",2752,3108,1
"1028",2845,3108,1
"1029",2968,3108,1
"1030",3016,3110,1
"1031",2987,3113,1
"1032",2684,3114,1
"1033",2712,3114,1
"1034",2719,3114,1
"1035",2738,3114,1
"1036",2744,3114,1
"1037",2757,3114,1
"1038",2774,3114,1
"1039",2838,3114,1
"1040",2839,3114,1
"1041",2910,3114,1
"1042",2920,3114,1
"1043",2925,3114,1
"1044",2978,3114,1
"1045",3021,3114,1
"1046",3033,3114,1
"1047",2690,3115,1
"1048",2879,3130,1
"1049",3039,3130,1
"1050",3033,3131,1
"1051",3091,3131,1
"1052",3102,3131,1
"1053",3133,3131,1
"1054",2913,3133,1
"1055",3016,3133,1
"1056",2855,3136,1
"1057",2884,3136,1
"1058",2720,3140,1
"1059",2910,3140,1
"1060",2739,3144,1
"1061",2744,3147,1
"1062",2760,3147,1
"1063",2888,3147,1
